name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityrs,militran,militwar,clerkj,clerkyrs,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrs1,privtyp2,privst2,privyrs2,schname1,schrank1,schyrs1,schname2,schrank2,schyrs2,schn,schcon,sttrist,sttriyrs,stapst,stapyrs,stsupst,stsupyrs,feddist,feddi,feddiyrs,fedca,fedcayrs,usasat,usasatyrs,usat,usatyrs,ussgoyrs,ussgyrs,usagoyrs,usagyrs,uscab,uscabyrs,ussec,ussecyrs,usage,usageyrs,usagh,usaghyrs,uspresyrs,ushr1,ushryrs1,ushr2,ushryrs2,ussn1,ussnyrs1,ussn2,ussnyrs2,conconv,concong,concongyrs,artcon,artconyrs,artconsp,citat,citatyrs,cdep,cdepyrs,cdis,cdisyrs,saag,saagyrs,stag,stagyrs,ltgov,ltgov1,ltgov2,gov,govyrs,stcab,stcabyrs,mayor,mayoryrs,stsenate,stsenyrs,sthouse,sthseyrs,ctycl,ctyclyrs,commsn,commsnyrs,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,congress,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Paterson, William",1793,1,0,1,11,2,2.05,8,888,12/24/1745,1745,530,55,258,30,3,4,0,10,22,0,0,Mary,"Paterson, Richard",23,888,888,85,2,1763,1,85,2,1776,1,888,888,888,888,"Stockton, Richard",30,1769,1,2,"White, Euphemia",1785,3,11,2,13,1,888,0,30,1769,888,888,888,888,1,30,7,1,30,5,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,30,1,777,0,1,888,0,888,0,888,888,0,888,0,888,0,888,0,30,7,888,888,888,30,3,888,0,888,0,888,0,30,1,888,0,13,0,03/04/1793,03/04/1793,888,888,888,888,888,888,888,888,888,888,888,888,1,30,888,3,47,30,3,888,"Johnson, Thomas",1,3,888,888,888,3,3,0.286000013,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,03/04/1793,1,666,666,1,888. NOMINATION NOT WITHDRAWN,03/11/1793,09/09/1806,60,3,777,"Livingston, Henry Brockholst",09/09/1806,268,32,60
"Rutledge, John",1795,0,1,888,12,2,1.02,9,888,09/18/1739,1739,349,40,349,40,5,5,0,6,8,0,0,"Hext, Sarah","Rutledge, John",26,888,888,888,888,888,888,888,888,888,888,70,1,1760,1,"Parson, James",40,1757,2,1,"Grimke, Elizabeth",1763,10,888,0,888,888,888,0,54,1760,888,888,888,888,1,40,13,777,777,0,888,888,0,888,888,0,888,888,40,6,888,0,40,4,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,1,40,2,40,1,0,888,0,888,0,888,0,888,0,40,1,888,888,888,40,3,888,0,888,0,888,0,40,17,888,0,14,0,07/01/1795,RECESS APPT,6,888,40,888,888,888,888,888,888,888,888,888,888,888,888,4,55,40,3,888,"Jay, John",1,3,888,888,888,4,3,0.42899999,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,08/12/1795,12/15/1795,56,12,777,"Ellsworth, Oliver",07/18/1800,349,40,60
"Rutledge, John",1795,0,0,0,13,3,1.03,9,888,09/18/1739,1739,349,40,349,40,5,5,0,6,8,0,0,"Hext, Sarah","Rutledge, John",26,888,888,888,888,888,888,888,888,888,888,70,1,1760,1,"Parson, James",40,1757,2,1,"Grimke, Elizabeth",1763,10,888,0,888,888,888,0,54,1760,888,888,888,888,1,40,13,777,777,0,888,888,0,888,888,0,888,888,40,6,888,0,40,4,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,1,40,2,40,1,0,888,0,888,0,888,0,888,0,40,1,888,888,888,40,3,888,0,888,0,888,0,40,17,888,0,14,0,12/10/1795,12/10/1795,9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,56,40,3,888,"Jay, John",1,3,888,888,888,4,3,0.42899999,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,12/15/1795,4,10,14,3,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,07/18/1800,349,40,60
"Cushing, William",1796,0,0,0,14,2,1.04,3,888,03/01/1732,1732,190,21,190,21,3,5,1,3,4,0,0,"Cotton, Mary","Cushing, John",20,10,1,47,2,1751,1,888,888,888,888,888,888,888,888,"Gridley, Jeremiah",21,1755,1,1,"Phillips, Hannah",1774,0,888,0,888,888,888,0,21,1755,888,888,888,888,1,21,2,1,19,11,888,888,0,888,888,0,888,888,21,5,888,0,21,12,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,888,0,888,0,18,0,01/26/1796,01/26/1796,2,1,888,888,888,888,888,888,888,888,888,888,888,888,888,7,63,21,3,888,"Jay, John",1,3,888,888,888,4,3,0.42899999,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,01/27/1796,1,666,666,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,09/13/1810,190,21,78
"Chase, Samuel",1796,1,0,1,15,1,5.02,10,888,04/17/1741,1741,167,20,160,20,5,4,0,6,4,0,0,"Walker, Martha","Chase, Thomas",12,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Hall, John",20,1761,2,2,"Giles, Hannah Kitty",1784,7,888,0,888,888,888,0,20,1761,888,888,888,888,1,20,24,777,777,0,888,888,0,888,888,0,888,888,20,8,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,20,4,20,1,0,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,20,20,888,0,20,0,01/26/1796,01/26/1796,8,888,20,888,888,888,888,888,888,888,888,888,888,888,888,5,54,20,3,888,"Blair, John, Jr.",1,3,888,888,888,4,3,0.42899999,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,01/27/1796,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/04/1796,06/19/1811,70,3,777,"Duvall, Gabriel",06/19/1811,160,20,70
"Ellsworth, Oliver",1796,0,0,1,16,1,1.05,11,888,04/29/1745,1745,47,7,47,7,1,5,0,3,4,0,0,"Leavitt, Jemima","Ellsworth, David",13,12,1,85,2,1766,2,888,888,888,888,888,888,888,888,Self taught,7,1771,777,1,"Wolcott, Abigale",1772,7,888,0,888,888,888,0,7,1771,888,888,888,888,1,7,13,777,777,0,888,888,0,888,888,0,888,888,7,4,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,7,7,777,0,1,7,5,7,2,0,888,0,888,0,7,8,888,0,888,0,888,888,888,888,0,7,5,888,0,888,0,7,3,888,0,888,0,03/03/1796,03/03/1796,888,888,888,888,888,888,888,888,2,7,888,888,888,888,888,7,50,7,3,888,"Jay, John",1,3,888,888,888,4,3,0.42899999,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,03/04/1796,2,21,1,1,888. NOMINATION NOT WITHDRAWN,03/08/1796,12/15/1800,55,2,14,"Marshall, John",11/26/1807,47,7,62
"Washington, Bushrod",1798,1,1,888,17,1,4.02,12,888,06/05/1762,1762,398,46,398,46,6,5,0,6,4,0,0,"Bushrod, Hannah","Washington, John A.",28,11,2,114,2,1778,1,888,888,888,888,888,888,888,888,"Wilson, James",38,1784,1,1,"Blackburn, Julia Ann",1785,0,5,1,14,1,888,0,46,1784,888,888,888,888,1,46,14,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,46,1,888,0,12,0,09/29/1798,RECESS APPT,888,888,888,1,46,888,888,888,888,888,888,888,888,888,888,14,36,46,3,888,"Wilson, James",2,3,888,888,888,5,3,0.430999994,888,888,888,888,888,777,777,777,777. RECESS APPOINTMENT,777,777. RECESS APPOINTMENT,777,777,777,777. RECESS APPT,777,777,777,777,777. RECESS APPOINTMENT,11/09/1798,02/04/1799,37,13,9,666. RECESS APPOINTEE REPLACED HIMSELF,11/26/1829,326,38,67
"Washington, Bushrod",1798,1,0,1,18,2,4.03,12,888,06/05/1762,1762,398,46,398,46,6,5,0,6,4,0,0,"Bushrod, Hannah","Washington, John A.",28,11,2,114,2,1778,1,888,888,888,888,888,888,888,888,"Wilson, James",38,1784,1,1,"Blackburn, Julia Ann",1785,0,5,1,14,1,888,0,46,1784,888,888,888,888,1,46,14,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,888,0,888,0,888,0,46,1,888,0,12,0,12/19/1798,12/19/1798,9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,36,46,3,888,"Wilson, James",2,3,888,888,888,5,3,0.430999994,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,12/20/1798,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/04/1799,11/26/1829,67,3,777,"Baldwin, Henry",11/26/1829,326,38,67
"Moore, Alfred",1799,1,0,1,19,1,6.03,13,888,05/21/1755,1755,297,33,297,33,2,5,1,6,7,0,0,"Grange, Anne","Moore, Maurice",20,10,1,888,888,888,888,888,888,888,888,888,888,888,888,"Moore, Maurice",33,1755,1,1,"Eagles, Susanna",1775,4,5,1,2,1,888,0,33,1775,888,888,888,888,1,33,0,1,33,8,888,888,0,888,888,0,888,888,33,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,33,9,888,888,888,888,0,888,0,888,0,33,0,33,0,888,0,888,0,12/04/1799,12/04/1799,8,888,33,888,888,888,888,888,888,888,888,888,888,888,888,1,44,33,3,888,"Iredell, James",2,3,888,888,888,6,3,0.470499992,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,12/10/1799,1,666,666,1,888. NOMINATION NOT WITHDRAWN,04/21/1800,01/26/1804,48,2,777,"Johnson, William",10/15/1810,296,33,55
"Jay, John",1800,0,0,0,20,2,1.06,1,888,12/12/1745,1745,282,32,287,32,1,5,0,6,12,0,0,"Cortlandt, Mary Van","Jay, Peter",24,888,888,24,2,1764,1,888,888,888,888,888,888,888,888,"Kissam, Benjamin",32,1768,1,1,"Livingston, Sarah Van Brugh",1774,7,14,2,3,1,888,0,32,1768,888,888,888,888,3,32,6,777,777,0,888,888,0,888,888,0,888,888,888,0,888,0,32,1,888,888,0,888,0,888,0,888,0,0,0,0,0,888,0,23,5,888,0,888,0,0,888,0,888,0,888,0,888,0,0,32,5,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,32,5,888,0,888,0,888,0,888,0,888,0,888,0,12/18/1800,12/18/1800,888,888,888,888,888,888,888,888,888,888,888,888,1,32,888,5,55,32,3,888,"Ellsworth, Oliver",2,3,888,888,888,6,3,0.470499992,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,12/19/1800,1,666,666,2,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,888,888,888,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,05/17/1829,270,32,83
"Marshall, John",1801,0,0,1,21,1,1.07,14,888,09/24/1755,1755,391,46,391,46,2,4,0,6,10,0,0,"Keith, Mary Randolph","Marshall, Thomas",15,13,2,888,888,888,888,888,888,888,888,114,1,1780,1,Self taught,46,1780,777,1,"Ambler, Mary Willis",1783,10,5,5,2,1,888,0,46,1780,888,888,888,888,1,46,3,1,46,14,888,888,0,888,888,0,888,888,888,0,888,0,888,0,888,888,0,888,0,888,0,888,0,0,0,0,0,23,1,23,1,888,0,888,0,0,46,1,777,0,888,0,888,0,0,888,0,888,0,888,888,0,888,0,888,0,888,0,888,0,888,888,888,888,0,46,2,888,0,888,0,46,0,888,0,12,0,01/20/1801,01/20/1801,888,888,888,888,888,888,888,888,888,888,888,888,888,888,8,1,45,46,3,888,"Ellsworth, Oliver",2,3,888,888,888,6,3,0.470499992,888,888,888,888,888,888,888,888,999. PREDATE,999,999. PREDATE,999,888,888,01/27/1801,1,666,666,1,888. NOMINATION NOT WITHDRAWN,02/04/1801,07/06/1835,79,3,777,"Taney, Roger Brooke",07/06/1835,326,38,79
